lambda,train_error,l1_norm,val_error
1.000000000000000048e-04,1.015183179712664059e+04,1.652650354721834747e+00,2.192605631515215919e+03
1.366448349295325770e-04,1.015183179712664787e+04,1.652650307157645493e+00,2.192605630292474416e+03
1.867181091291920622e-04,1.015183179712665878e+04,1.652650241374001849e+00,2.192605628831123795e+03
2.551406520031287333e-04,1.015183179712667516e+04,1.652650151646757770e+00,2.192605626679047873e+03
3.486365227678084127e-04,1.015183179712671517e+04,1.652650029273844634e+00,2.192605623817999913e+03
4.763938010401340493e-04,1.015183179712678793e+04,1.652649861873541237e+00,2.192605619924146595e+03
6.509675230458170699e-04,1.015183179712691526e+04,1.652649633060630840e+00,2.192605614611013607e+03
8.895134973108236856e-04,1.015183179712715901e+04,1.652649320542120659e+00,2.192605607331715873e+03
1.215474250076285876e-03,1.015183179712762103e+04,1.652648893440985534e+00,2.192605597398438931e+03
1.660882782627716566e-03,1.015183179712847050e+04,1.652648310569407419e+00,2.192605583821050459e+03
2.269510536694668498e-03,1.015183179713006393e+04,1.652647512300075450e+00,2.192605565270358056e+03
3.101168926574778342e-03,1.015183179713303798e+04,1.652646422581369290e+00,2.192605539921123636e+03
4.237587160604063159e-03,1.015183179713859499e+04,1.652644933605024846e+00,2.192605505246978282e+03
5.790443980602483047e-03,1.015183179714896323e+04,1.652642898714632436e+00,2.192605457954407939e+03
7.912342618981327291e-03,1.015183179716832819e+04,1.652640118350505505e+00,2.192605393286597064e+03
1.081180751076607841e-02,1.015183179720448061e+04,1.652636319116268959e+00,2.192605304920292838e+03
1.477377652598511198e-02,1.015183179727198876e+04,1.652631127643282349e+00,2.192605184179709795e+03
2.018760254679038968e-02,1.015183179739800289e+04,1.652624035762138677e+00,2.192605018957002812e+03
2.758531617629184085e-02,1.015183179763339285e+04,1.652614340357886125e+00,2.192604793800195239e+03
3.769390975388359905e-02,1.015183179807284250e+04,1.652601094800797421e+00,2.192604485836518506e+03
5.150678076168122010e-02,1.015183179889337953e+04,1.652582995433556690e+00,2.192604065096195427e+03
7.038135554931554405e-02,1.015183180042546519e+04,1.652558263583996156e+00,2.192603490320656419e+03
9.617248711152964757e-02,1.015183180328615526e+04,1.652524468807962332e+00,2.192602705191773111e+03
1.314147362611756686e-01,1.015183180862755944e+04,1.652478289987262761e+00,2.192601632832179348e+03
1.795714494371640768e-01,1.015183181860094737e+04,1.652415189004319718e+00,2.192600168453907372e+03
2.453751106639816826e-01,1.015183183722305694e+04,1.652328964772355135e+00,2.192598169182419952e+03
3.352924149249556507e-01,1.015183187199391978e+04,1.652211143788913761e+00,2.192595440560540737e+03
4.581597669054491284e-01,1.015183193691744600e+04,1.652050147565136573e+00,2.192591718082307125e+03
6.260516572014821479e-01,1.015183205814134271e+04,1.651830154439223097e+00,2.192586642800616119e+03
8.554672535565684965e-01,1.015183228448892442e+04,1.651529545679488287e+00,2.192579728862971024e+03
1.168951816498577712e+00,1.015183270711932892e+04,1.651118778391524877e+00,2.192570320962811820e+03
1.597312280060255718e+00,1.015183349624778930e+04,1.650557486629354864e+00,2.192557538988468878e+03
2.182644728397487022e+00,1.015183496969348926e+04,1.649790510450338754e+00,2.192540210543646026e+03
2.982471286216887840e+00,1.015183772088313526e+04,1.648742477048817712e+00,2.192516789215142580e+03
4.075392965871778017e+00,1.015184285785277280e+04,1.647310393726624245e+00,2.192485264972602181e+03
5.568813990945266745e+00,1.015185244950011293e+04,1.645353527041800268e+00,2.192443084174063642e+03
7.609496685459883558e+00,1.015187035888347418e+04,1.642679562440325203e+00,2.192387118872705742e+03
1.039798418481490039e+01,1.015190379888944881e+04,1.639025737370410685e+00,2.192313767708245905e+03
1.420830832533920862e+01,1.015196623741393159e+04,1.634032973225198582e+00,2.192219367704384695e+03
1.941491945743881686e+01,1.015208282148617218e+04,1.627210616535707643e+00,2.192101261826227073e+03
2.652948464431894493e+01,1.015230050506656517e+04,1.617888218108266773e+00,2.191960203629671014e+03
3.625117049988535456e+01,1.015270695973055626e+04,1.605149642396969334e+00,2.191805409740759387e+03
4.953535208959169722e+01,1.015346588419185355e+04,1.587743036672744967e+00,2.191664760670424585e+03
6.768750009458527472e+01,1.015488293360839634e+04,1.563957808927983084e+00,2.191604895890186071e+03
9.249147277217335272e+01,1.015752882148333993e+04,1.531456523791361324e+00,2.191770168296497559e+03
1.263848202934297120e+02,1.016246917320805005e+04,1.487045196381201917e+00,2.192457337427860693e+03
1.726983290659435966e+02,1.017169370523290490e+04,1.426359410875275069e+00,2.194257711061926784e+03
2.359833466782193625e+02,1.018891757517113001e+04,1.343435420549629722e+00,2.198326664126243031e+03
3.224590545296397863e+02,1.022046360622272914e+04,1.229574403157881246e+00,2.206983817785602696e+03
4.406236427773573041e+02,1.027917164232559116e+04,1.073839432687498707e+00,2.224153554057362726e+03
