lambda,train_error,l2_norm_sq,val_error
1.000000000000000048e-04,1.015183179712664059e+04,1.032643706855767229e+00,2.192605644320587089e+03
1.477377652598511188e-04,1.015183179712665333e+04,1.032643603597409143e+00,2.192605649034815087e+03
2.182644728397487152e-04,1.015183179712667334e+04,1.032643451044625849e+00,2.192605655999561804e+03
3.224590545296394679e-04,1.015183179712671881e+04,1.032643225669695353e+00,2.192605666289020974e+03
4.763938010401340493e-04,1.015183179712681886e+04,1.032642892701836068e+00,2.192605681490584175e+03
7.038135554931554535e-04,1.015183179712702986e+04,1.032642400785914738e+00,2.192605703948984683e+03
1.039798418481489893e-03,1.015183179712750280e+04,1.032641674039461055e+00,2.192605737128571036e+03
1.536174946671828127e-03,1.015183179712852871e+04,1.032640600362821015e+00,2.192605786147333220e+03
2.269510536694668498e-03,1.015183179713077152e+04,1.032639014139070444e+00,2.192605858566701954e+03
3.352924149249556472e-03,1.015183179713566096e+04,1.032636670695181280e+00,2.192605965557431318e+03
4.953535208959169642e-03,1.015183179714634025e+04,1.032633208559167626e+00,2.192606123623592794e+03
7.318242219076173845e-03,1.015183179716964696e+04,1.032628093712232076e+00,2.192606357147526978e+03
1.081180751076607841e-02,1.015183179722051864e+04,1.032620537219446355e+00,2.192606702152195794e+03
1.597312280060253845e-02,1.015183179733154429e+04,1.032609373591824475e+00,2.192607211857404309e+03
2.359833466782193870e-02,1.015183179757387734e+04,1.032592881043440824e+00,2.192607964891228676e+03
3.486365227678084322e-02,1.015183179810278489e+04,1.032568516087987831e+00,2.192609077421640905e+03
5.150678076168122010e-02,1.015183179925715740e+04,1.032532521506297485e+00,2.192610721081879547e+03
7.609496685459875287e-02,1.015183180177658323e+04,1.032479347548636683e+00,2.192613149459803026e+03
1.124210035062086221e-01,1.015183180727509352e+04,1.032400797454447794e+00,2.192616737246365119e+03
1.660882782627715049e-01,1.015183181927477381e+04,1.032284766593869696e+00,2.192622038100456848e+03
2.453751106639816826e-01,1.015183184546062512e+04,1.032113382935734069e+00,2.192629870202138136e+03
3.625117049988531570e-01,1.015183190259827825e+04,1.031860266873502407e+00,2.192641442783512048e+03
5.355666917706896069e-01,1.015183202725547562e+04,1.031486498479749825e+00,2.192658543363116678e+03
7.912342618981318410e-01,1.015183229916387427e+04,1.030934693138145342e+00,2.192683815010027502e+03
1.168951816498577712e+00,1.015183289208291899e+04,1.030120322270244637e+00,2.192721167371493721e+03
1.726983290659432457e+00,1.015183418441051072e+04,1.028919049803303398e+00,2.192776386926776922e+03
2.551406520031287428e+00,1.015183699929940849e+04,1.027148368098825371e+00,2.192858044990266535e+03
3.769390975388363429e+00,1.015184312490047705e+04,1.024541175186985287e+00,2.192978870388372343e+03
5.568813990945266745e+00,1.015185643443057597e+04,1.020708563810899250e+00,2.193157707375644804e+03
8.227241341700457511e+00,1.015188529296318848e+04,1.015087749178829268e+00,2.193422681277081665e+03
1.215474250076285934e+01,1.015194767086176034e+04,1.006872982464366739e+00,2.193815745596829402e+03
1.795714494371640768e+01,1.015208188596412583e+04,9.949282075406390424e-01,2.194399721666166442e+03
2.652948464431894493e+01,1.015236874839475786e+04,9.776887323358457449e-01,2.195268955550101509e+03
