epsilon,iterations,time_sec,rmse_at_hit,problem_method
0.01,3448,0.07215739999082871,0.009978964690493879,Linear-GD
0.001,4529,0.09327979999943636,0.000998071154206827,Linear-GD
0.0001,5608,0.113463599991519,9.995086723780483e-05,Linear-GD
0.01,1,0.0001653999788686633,1.3392676943746776e-06,Linear-Newton
0.001,1,0.0001653999788686633,1.3392676943746776e-06,Linear-Newton
0.0001,1,0.0001653999788686633,1.3392676943746776e-06,Linear-Newton
0.01,4395,1.0004396000003908,0.009996793959157377,Logistic-GD
0.001,8109,1.8279144999978598,0.000999763653986681,Logistic-GD
0.0001,11981,2.8200523999985307,9.997608042196319e-05,Logistic-GD
0.01,7,0.007921200012788177,0.0008460388452634158,Logistic-Newton
0.001,7,0.007921200012788177,0.0008460388452634158,Logistic-Newton
0.0001,8,0.00845990001107566,2.7488993523842538e-06,Logistic-Newton
